iter,lr,train_loss,homology_layer_0,homology_layer_1,homology_layer_2,homology_layer_3,homology_layer_4,homology_layer_5,avg_homology_score,val_loss,perplexity
11100,0.0003925621770610885,0.02664390206336975,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-3.453877638657735,,
11200,0.0003904023374163289,0.033409975469112396,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-3.453877638657735,,
11300,0.00038822797017630506,0.0315285287797451,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
11400,0.0003860393490644781,0.026749039068818092,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
11500,0.00038383674959867895,0.03559266775846481,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
11600,0.0003816204490564247,0.031047353520989418,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
11700,0.0003793907264400127,0.034756697714328766,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
11800,0.000377147862441398,0.031043680384755135,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
11900,0.0003748921394068585,0.0304467361420393,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
12000,0.0003726238413014506,0.03170650452375412,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,tensor(0.0307),1.0311894709941276
12100,0.0003703432536732625,0.03167451173067093,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
12200,0.00036805066361746716,0.03314712643623352,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
12300,0.0003657463597401812,0.030386528000235558,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
12400,0.00036343063212213283,0.0312957763671875,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
12500,0.00036110377228214523,0.032247498631477356,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
12600,0.00035876607314043766,0.02774684503674507,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
12700,0.0003564178289817513,0.03481537103652954,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
12800,0.0003540593354183021,0.03365682065486908,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
12900,0.00035169088935256814,0.03171847388148308,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
13000,0.00034931278893991265,0.032859768718481064,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,tensor(0.0302),1.0306453978476637
13100,0.00034692533355105086,0.0288569126278162,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
13200,0.0003445288237343632,0.027506539598107338,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
13300,0.00034212356117806013,0.031137138605117798,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
13400,0.0003397098486722039,0.034612637013196945,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
13500,0.00033728799007059113,0.02647734060883522,1.000000082240371e-09,-20.72326583694641,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-10.361632917973205,,
13600,0.0003348582902525019,0.030074860900640488,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
13700,0.0003324210550843196,0.031690485775470734,1.000000082240371e-09,1.000000082240371e-09,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,1.000000082240371e-09,-6.907755278315471,,
